연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,수거 담당자,데이터기준일
148,강북구,도봉로,도봉로89길 13 강북구청 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2018년 설치,환경공무관,2025-08-02
149,강북구,삼양로,삼양로 247 롯데마트 삼양점 버스정류장(09-160),정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
150,강북구,삼양로,삼양로 247 롯데마트 삼양점 버스정류장(09-160),정류소(버스 가로변),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
151,강북구,삼양로,삼양로 371 우이초교 버스정류장(09-134),정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
152,강북구,인수봉로,인수봉로 39 솔샘중고등학교 버스정류장(09-847),정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
153,강북구,인수봉로,인수봉로 39 솔샘중고등학교 버스정류장(09-847),정류소(버스 가로변),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
154,강북구,인수봉로,"인수봉로8길 35-4 솔샘중고등학교, 팔팔미송경로당 버스정류장(09-217)",정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
155,강북구,인수봉로,"인수봉로8길 35-4 솔샘중고등학교, 팔팔미송경로당 버스정류장(09-217)",정류소(버스 가로변),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
156,강북구,인수봉로,"인수봉로 39 솔샘중고등학교, 팔팔미송경로당 버스정류장(09-218)",정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
157,강북구,인수봉로,"인수봉로 39 솔샘중고등학교, 팔팔미송경로당 버스정류장(09-218)",정류소(버스 가로변),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
158,강북구,도봉로,도봉로 71 송천우체국 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
159,강북구,도봉로,도봉로 71 송천우체국 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
160,강북구,오현로,오현로 204 번동초등학교 앞 횡단보도,도로변(횡단보도 포함),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
161,강북구,오현로,오현로 204 번동초등학교 앞 횡단보도,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
162,강북구,오현로,오현로 207 벌말어린이공원 앞 버스정류장(09-228),정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
