연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,데이터기준일자
123,동작구청,사당로,300(ID: 20-184),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
124,동작구청,사당로,300(ID: 20-184),버스 정류장 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
125,동작구청,사당로,254(ID:20-252),버스정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
126,동작구청,사당로,138(사당지구대 앞),버스정류장 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
127,동작구청,사당로,138(사당지구대 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
128,동작구청,동작대로,19(한국전력 앞),지하철 옆,재활용,일반 사각 쓰레기통,2020년 설치,2024-07-29
129,동작구청,동작대로,19(한국전력 앞),지하철 옆,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
130,동작구청,동작대로,27(IBK기업은행 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
131,동작구청,동작대로,67(더본병원 앞),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
132,동작구청,동작대로,방배노인복지관 (ID: 20-020),버스 중앙차로,일반쓰레기,일반 사각 쓰레기통,2020년 설치,2024-07-29
133,동작구청,동작대로,이수역(ID:20-027),버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
134,동작구청,동작대로,사당동우체국앞(ID:20-019),가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
135,동작구청,남부순환로,천수공원앞(사당역7번출구),가로변,일반쓰레기,일반 사각 쓰레기통,2019년 설치,2024-07-29
136,동작구청,남부순환로,천수공원앞(사당역7번출구),가로변,재활용,일반 사각 쓰레기통,2019년 설치,2024-07-29
137,동작구청,남부순환로,2019,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
138,동작구청,남부순환로,2069,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
139,동작구청,흑석로,106-5 ,가로변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,2024-07-29
140,동작구청,흑석로,106-5 ,가로변,재활용,일반 사각 쓰레기통,2020년 신규,2024-07-29
